month,vendor_id,rd_investment,marketing_investment,onu_price,quantity_sold
0,vendor1,25000,14000,90,58767
0,vendor2,84000,60000,180,44052
1,vendor1,21100,10880,81,27151
1,vendor2,69600,48480,171,13663
2,vendor1,141312,107050,76,28788
2,vendor2,200000,200000,162,9993
3,vendor1,162497,123997,73,38674
3,vendor2,200000,200000,154,11047
4,vendor1,171567,131254,69,54084
4,vendor2,200000,200000,146,13302
5,vendor1,177822,136257,65,76817
5,vendor2,200000,200000,139,16314
