month,buyer_id,selected_vendor,purchase_quantity,min_quality_score
0,isp1,vendor2,29383,0.7
0,isp2,vendor1,46601,0.6
0,isp3,vendor1,34642,0.6
0,isp4,vendor1,587,0.6
0,isp5,vendor1,705,0.6
0,isp6,vendor1,940,0.6
0,isp7,vendor1,349,0.6
0,isp8,vendor1,1048,0.6
0,isp9,vendor1,815,0.6
0,isp10,vendor1,692,0.6
0,isp11,vendor1,635,0.6
0,isp12,vendor1,1097,0.6
1,isp1,vendor2,9226,0.7
1,isp2,vendor1,20219,0.6
1,isp3,vendor1,14897,0.6
1,isp4,vendor1,257,0.6
1,isp5,vendor1,308,0.6
1,isp6,vendor1,411,0.6
1,isp7,vendor1,151,0.6
1,isp8,vendor1,455,0.6
1,isp9,vendor1,354,0.6
1,isp10,vendor1,298,0.6
1,isp11,vendor1,273,0.6
1,isp12,vendor1,471,0.6
